len(selected_patterns):57; curr precision: 0.9903; curr recall: 0.1431; curr f1: 0.2501; curr tp: 15623; curr fp: 153; curr fn: 93528; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 286; pattern: ('PROX_near2', '_OTOKEN_great', 'TOKEN_and'); pattern type: l1
len(selected_patterns):58; curr precision: 0.9903; curr recall: 0.1431; curr f1: 0.2501; curr tp: 15624; curr fp: 153; curr fn: 93527; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 281; pattern: ('DEP_cc', '_OTOKEN_good', 'WORD'); pattern type: l1
len(selected_patterns):59; curr precision: 0.9904; curr recall: 0.1444; curr f1: 0.252; curr tp: 15759; curr fp: 153; curr fn: 93392; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 278; pattern: ('DEP_amod', 'TOKEN_computer', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):60; curr precision: 0.9904; curr recall: 0.1448; curr f1: 0.2527; curr tp: 15810; curr fp: 153; curr fn: 93341; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 268; pattern: ('DEP_root', 'WORD', '_OTOKEN_disappointed'); pattern type: l1
len(selected_patterns):61; curr precision: 0.9902; curr recall: 0.146; curr f1: 0.2544; curr tp: 15932; curr fp: 158; curr fn: 93219; curr tn: 1563020; precision of pattern: 1.0; tp, abs. recall of pattern: 267; pattern: ('SRL_arg2', 'TOKEN_is', '_OTOKEN_slow'); pattern type: l1
len(selected_patterns):62; curr precision: 0.9901; curr recall: 0.146; curr f1: 0.2545; curr tp: 15938; curr fp: 160; curr fn: 93213; curr tn: 1563018; precision of pattern: 1.0; tp, abs. recall of pattern: 265; pattern: ('DEP_punct', '_OTOKEN_better', 'TOKEN_.'); pattern type: l1
len(selected_patterns):63; curr precision: 0.9901; curr recall: 0.1473; curr f1: 0.2564; curr tp: 16076; curr fp: 160; curr fn: 93075; curr tn: 1563018; precision of pattern: 1.0; tp, abs. recall of pattern: 264; pattern: ('DEP_cop', '_OTOKEN_better', 'TOKEN_is'); pattern type: l1
len(selected_patterns):64; curr precision: 0.9902; curr recall: 0.148; curr f1: 0.2576; curr tp: 16158; curr fp: 160; curr fn: 92993; curr tn: 1563018; precision of pattern: 1.0; tp, abs. recall of pattern: 260; pattern: ('SRL_arg2', "TOKEN_'s", '_OTOKEN_great'); pattern type: l1
len(selected_patterns):65; curr precision: 0.9902; curr recall: 0.1494; curr f1: 0.2596; curr tp: 16307; curr fp: 162; curr fn: 92844; curr tn: 1563016; precision of pattern: 1.0; tp, abs. recall of pattern: 259; pattern: ('PROX_near2', 'TOKEN_is', '_OTOKEN_fast'); pattern type: l1
len(selected_patterns):66; curr precision: 0.9901; curr recall: 0.1494; curr f1: 0.2597; curr tp: 16312; curr fp: 163; curr fn: 92839; curr tn: 1563015; precision of pattern: 1.0; tp, abs. recall of pattern: 258; pattern: ('DEP_punct', '_OTOKEN_fine', 'WORD'); pattern type: l1
len(selected_patterns):67; curr precision: 0.9901; curr recall: 0.1518; curr f1: 0.2632; curr tp: 16569; curr fp: 166; curr fn: 92582; curr tn: 1563012; precision of pattern: 1.0; tp, abs. recall of pattern: 257; pattern: ('DEP_nsubj', '_OTOKEN_pleased', 'TOKEN_i'); pattern type: l1
len(selected_patterns):68; curr precision: 0.9899; curr recall: 0.1541; curr f1: 0.2667; curr tp: 16819; curr fp: 171; curr fn: 92332; curr tn: 1563007; precision of pattern: 1.0; tp, abs. recall of pattern: 250; pattern: _OTOKEN_fantastic; pattern type: l0
len(selected_patterns):69; curr precision: 0.99; curr recall: 0.1547; curr f1: 0.2676; curr tp: 16885; curr fp: 171; curr fn: 92266; curr tn: 1563007; precision of pattern: 1.0; tp, abs. recall of pattern: 250; pattern: ('DEP_root', 'WORD', '_OTOKEN_pleased'); pattern type: l1
len(selected_patterns):70; curr precision: 0.9899; curr recall: 0.1547; curr f1: 0.2676; curr tp: 16888; curr fp: 172; curr fn: 92263; curr tn: 1563006; precision of pattern: 1.0; tp, abs. recall of pattern: 249; pattern: ('PROX_near1', 'TOKEN_works', '_OTOKEN_well'); pattern type: l1
len(selected_patterns):71; curr precision: 0.9899; curr recall: 0.1548; curr f1: 0.2677; curr tp: 16893; curr fp: 172; curr fn: 92258; curr tn: 1563006; precision of pattern: 1.0; tp, abs. recall of pattern: 245; pattern: ('PROX_near1', 'TOKEN_and', '_OTOKEN_easy'); pattern type: l1
len(selected_patterns):72; curr precision: 0.9897; curr recall: 0.157; curr f1: 0.271; curr tp: 17136; curr fp: 178; curr fn: 92015; curr tn: 1563000; precision of pattern: 1.0; tp, abs. recall of pattern: 243; pattern: _OTOKEN_difficult; pattern type: l0
len(selected_patterns):73; curr precision: 0.9897; curr recall: 0.157; curr f1: 0.271; curr tp: 17137; curr fp: 178; curr fn: 92014; curr tn: 1563000; precision of pattern: 1.0; tp, abs. recall of pattern: 239; pattern: ('DEP_advcl', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):74; curr precision: 0.9895; curr recall: 0.1591; curr f1: 0.2742; curr tp: 17369; curr fp: 185; curr fn: 91782; curr tn: 1562993; precision of pattern: 1.0; tp, abs. recall of pattern: 232; pattern: ('PROX_near1', 'TOKEN_a', '_OTOKEN_better'); pattern type: l1
len(selected_patterns):75; curr precision: 0.9895; curr recall: 0.1599; curr f1: 0.2752; curr tp: 17448; curr fp: 185; curr fn: 91703; curr tn: 1562993; precision of pattern: 1.0; tp, abs. recall of pattern: 229; pattern: ('SRL_arg2', 'TOKEN_was', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):76; curr precision: 0.9895; curr recall: 0.1602; curr f1: 0.2758; curr tp: 17487; curr fp: 185; curr fn: 91664; curr tn: 1562993; precision of pattern: 1.0; tp, abs. recall of pattern: 229; pattern: ('PROX_near2', '_OTOKEN_great', 'TOKEN_!'); pattern type: l1
len(selected_patterns):77; curr precision: 0.9896; curr recall: 0.1616; curr f1: 0.2779; curr tp: 17643; curr fp: 185; curr fn: 91508; curr tn: 1562993; precision of pattern: 1.0; tp, abs. recall of pattern: 228; pattern: ('PROX_near1', 'TOKEN_much', '_OTOKEN_better'); pattern type: l1
len(selected_patterns):78; curr precision: 0.9895; curr recall: 0.1637; curr f1: 0.2809; curr tp: 17869; curr fp: 190; curr fn: 91282; curr tn: 1562988; precision of pattern: 1.0; tp, abs. recall of pattern: 226; pattern: ('SRL_arg2', 'WORD', '_OTOKEN_responsive'); pattern type: l1
len(selected_patterns):79; curr precision: 0.9895; curr recall: 0.1638; curr f1: 0.281; curr tp: 17877; curr fp: 190; curr fn: 91274; curr tn: 1562988; precision of pattern: 1.0; tp, abs. recall of pattern: 225; pattern: ('PROX_near1', '_OTOKEN_great', 'TOKEN_computer'); pattern type: l1
len(selected_patterns):80; curr precision: 0.9895; curr recall: 0.1646; curr f1: 0.2822; curr tp: 17964; curr fp: 190; curr fn: 91187; curr tn: 1562988; precision of pattern: 1.0; tp, abs. recall of pattern: 219; pattern: ('PROX_near2', 'TOKEN_is', '_OTOKEN_nice'); pattern type: l1
len(selected_patterns):81; curr precision: 0.9896; curr recall: 0.1666; curr f1: 0.2851; curr tp: 18180; curr fp: 191; curr fn: 90971; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 216; pattern: _OTOKEN_terrible; pattern type: l0
len(selected_patterns):82; curr precision: 0.9896; curr recall: 0.1666; curr f1: 0.2852; curr tp: 18187; curr fp: 191; curr fn: 90964; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 210; pattern: ('DEP_conj', '_OTOKEN_easy', 'WORD'); pattern type: l1
len(selected_patterns):83; curr precision: 0.9896; curr recall: 0.1669; curr f1: 0.2856; curr tp: 18217; curr fp: 191; curr fn: 90934; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 209; pattern: ('PROX_near1', 'TOKEN_very', '_OTOKEN_pleased'); pattern type: l1
len(selected_patterns):84; curr precision: 0.9896; curr recall: 0.167; curr f1: 0.2857; curr tp: 18223; curr fp: 191; curr fn: 90928; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 207; pattern: ('DEP_root', 'WORD', '_OTOKEN_fine'); pattern type: l1
len(selected_patterns):85; curr precision: 0.9897; curr recall: 0.1688; curr f1: 0.2885; curr tp: 18429; curr fp: 191; curr fn: 90722; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 206; pattern: ('DEP_root', 'WORD', '_OTOKEN_awesome'); pattern type: l1
len(selected_patterns):86; curr precision: 0.9897; curr recall: 0.1689; curr f1: 0.2885; curr tp: 18433; curr fp: 191; curr fn: 90718; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 205; pattern: ('PROX_near1', 'TOKEN_is', '_OTOKEN_nice'); pattern type: l1
len(selected_patterns):87; curr precision: 0.9898; curr recall: 0.1691; curr f1: 0.2889; curr tp: 18458; curr fp: 191; curr fn: 90693; curr tn: 1562987; precision of pattern: 1.0; tp, abs. recall of pattern: 205; pattern: ('DEP_punct', '_OTOKEN_awesome', 'WORD'); pattern type: l1
