len(selected_patterns):62; curr precision: 0.952; curr recall: 0.0318; curr f1: 0.0616; curr tp: 4904; curr fp: 247; curr fn: 149261; curr tn: 1353112; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_meatball; pattern type: l0
len(selected_patterns):63; curr precision: 0.9508; curr recall: 0.0321; curr f1: 0.0621; curr tp: 4948; curr fp: 256; curr fn: 149217; curr tn: 1353103; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_kale; pattern type: l0
len(selected_patterns):64; curr precision: 0.9509; curr recall: 0.0324; curr f1: 0.0626; curr tp: 4992; curr fp: 258; curr fn: 149173; curr tn: 1353101; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_chops; pattern type: l0
len(selected_patterns):65; curr precision: 0.9513; curr recall: 0.0327; curr f1: 0.0632; curr tp: 5035; curr fp: 258; curr fn: 149130; curr tn: 1353101; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _ATOKEN_ahi; pattern type: l0
len(selected_patterns):66; curr precision: 0.9516; curr recall: 0.0329; curr f1: 0.0637; curr tp: 5078; curr fp: 258; curr fn: 149087; curr tn: 1353101; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _ATOKEN_milkshakes; pattern type: l0
len(selected_patterns):67; curr precision: 0.9515; curr recall: 0.0332; curr f1: 0.0642; curr tp: 5118; curr fp: 261; curr fn: 149047; curr tn: 1353098; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _ATOKEN_okra; pattern type: l0
len(selected_patterns):68; curr precision: 0.951; curr recall: 0.0335; curr f1: 0.0646; curr tp: 5158; curr fp: 266; curr fn: 149007; curr tn: 1353093; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _ATOKEN_cheeseburger; pattern type: l0
len(selected_patterns):69; curr precision: 0.951; curr recall: 0.0337; curr f1: 0.0651; curr tp: 5198; curr fp: 268; curr fn: 148967; curr tn: 1353091; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _ATOKEN_quesadilla; pattern type: l0
len(selected_patterns):70; curr precision: 0.9503; curr recall: 0.034; curr f1: 0.0656; curr tp: 5238; curr fp: 274; curr fn: 148927; curr tn: 1353085; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _ATOKEN_cupcakes; pattern type: l0
len(selected_patterns):71; curr precision: 0.9496; curr recall: 0.0342; curr f1: 0.0661; curr tp: 5277; curr fp: 280; curr fn: 148888; curr tn: 1353079; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_shakes; pattern type: l0
len(selected_patterns):72; curr precision: 0.9496; curr recall: 0.0345; curr f1: 0.0665; curr tp: 5316; curr fp: 282; curr fn: 148849; curr tn: 1353077; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_wonton; pattern type: l0
len(selected_patterns):73; curr precision: 0.949; curr recall: 0.0347; curr f1: 0.067; curr tp: 5355; curr fp: 288; curr fn: 148810; curr tn: 1353071; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_chop; pattern type: l0
len(selected_patterns):74; curr precision: 0.9493; curr recall: 0.035; curr f1: 0.0675; curr tp: 5394; curr fp: 288; curr fn: 148771; curr tn: 1353071; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_mignon; pattern type: l0
len(selected_patterns):75; curr precision: 0.9495; curr recall: 0.0352; curr f1: 0.0679; curr tp: 5432; curr fp: 289; curr fn: 148733; curr tn: 1353070; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_catfish; pattern type: l0
len(selected_patterns):76; curr precision: 0.9482; curr recall: 0.0355; curr f1: 0.0684; curr tp: 5470; curr fp: 299; curr fn: 148695; curr tn: 1353060; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_carrot; pattern type: l0
len(selected_patterns):77; curr precision: 0.948; curr recall: 0.0357; curr f1: 0.0689; curr tp: 5508; curr fp: 302; curr fn: 148657; curr tn: 1353057; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_tibs; pattern type: l0
len(selected_patterns):78; curr precision: 0.9484; curr recall: 0.036; curr f1: 0.0693; curr tp: 5546; curr fp: 302; curr fn: 148619; curr tn: 1353057; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_cauliflower; pattern type: l0
len(selected_patterns):79; curr precision: 0.9487; curr recall: 0.0362; curr f1: 0.0698; curr tp: 5583; curr fp: 302; curr fn: 148582; curr tn: 1353057; precision of pattern: 1.0; tp, abs. recall of pattern: 37; pattern: _ATOKEN_carnitas; pattern type: l0
len(selected_patterns):80; curr precision: 0.9488; curr recall: 0.0365; curr f1: 0.0702; curr tp: 5620; curr fp: 303; curr fn: 148545; curr tn: 1353056; precision of pattern: 1.0; tp, abs. recall of pattern: 37; pattern: _ATOKEN_lasagna; pattern type: l0
len(selected_patterns):81; curr precision: 0.9488; curr recall: 0.0367; curr f1: 0.0706; curr tp: 5656; curr fp: 305; curr fn: 148509; curr tn: 1353054; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _ATOKEN_udon; pattern type: l0
len(selected_patterns):82; curr precision: 0.9491; curr recall: 0.0369; curr f1: 0.0711; curr tp: 5692; curr fp: 305; curr fn: 148473; curr tn: 1353054; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _ATOKEN_brulee; pattern type: l0
