len(selected_patterns):48; curr precision: 0.9676; curr recall: 0.0326; curr f1: 0.0631; curr tp: 5076; curr fp: 170; curr fn: 150558; curr tn: 1516525; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _ATOKEN_slots; pattern type: l0
len(selected_patterns):49; curr precision: 0.9676; curr recall: 0.0329; curr f1: 0.0636; curr tp: 5114; curr fp: 171; curr fn: 150520; curr tn: 1516524; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_applecare; pattern type: l0
len(selected_patterns):50; curr precision: 0.9675; curr recall: 0.0331; curr f1: 0.064; curr tp: 5152; curr fp: 173; curr fn: 150482; curr tn: 1516522; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_lan; pattern type: l0
len(selected_patterns):51; curr precision: 0.9665; curr recall: 0.0333; curr f1: 0.0645; curr tp: 5190; curr fp: 180; curr fn: 150444; curr tn: 1516515; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_multitasking; pattern type: l0
len(selected_patterns):52; curr precision: 0.966; curr recall: 0.0336; curr f1: 0.0649; curr tp: 5228; curr fp: 184; curr fn: 150406; curr tn: 1516511; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_font; pattern type: l0
len(selected_patterns):53; curr precision: 0.9659; curr recall: 0.0338; curr f1: 0.0654; curr tp: 5266; curr fp: 186; curr fn: 150368; curr tn: 1516509; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_clarity; pattern type: l0
len(selected_patterns):54; curr precision: 0.9661; curr recall: 0.0341; curr f1: 0.0658; curr tp: 5304; curr fp: 186; curr fn: 150330; curr tn: 1516509; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_anti-virus; pattern type: l0
len(selected_patterns):55; curr precision: 0.9664; curr recall: 0.0343; curr f1: 0.0663; curr tp: 5342; curr fp: 186; curr fn: 150292; curr tn: 1516509; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_chipset; pattern type: l0
len(selected_patterns):56; curr precision: 0.9665; curr recall: 0.0345; curr f1: 0.0667; curr tp: 5374; curr fp: 186; curr fn: 150260; curr tn: 1516509; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _ATOKEN_radeon; pattern type: l0
len(selected_patterns):57; curr precision: 0.9667; curr recall: 0.0347; curr f1: 0.067; curr tp: 5405; curr fp: 186; curr fn: 150229; curr tn: 1516509; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _ATOKEN_gui; pattern type: l0
len(selected_patterns):58; curr precision: 0.9652; curr recall: 0.0349; curr f1: 0.0674; curr tp: 5436; curr fp: 196; curr fn: 150198; curr tn: 1516499; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _ATOKEN_ware; pattern type: l0
len(selected_patterns):59; curr precision: 0.9647; curr recall: 0.0351; curr f1: 0.0678; curr tp: 5467; curr fp: 200; curr fn: 150167; curr tn: 1516495; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _ATOKEN_estate; pattern type: l0
len(selected_patterns):60; curr precision: 0.9646; curr recall: 0.0353; curr f1: 0.0681; curr tp: 5497; curr fp: 202; curr fn: 150137; curr tn: 1516493; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _ATOKEN_antenna; pattern type: l0
len(selected_patterns):61; curr precision: 0.9646; curr recall: 0.0355; curr f1: 0.0685; curr tp: 5526; curr fp: 203; curr fn: 150108; curr tn: 1516492; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_softwares; pattern type: l0
len(selected_patterns):62; curr precision: 0.9647; curr recall: 0.0357; curr f1: 0.0688; curr tp: 5555; curr fp: 203; curr fn: 150079; curr tn: 1516492; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_openoffice; pattern type: l0
len(selected_patterns):63; curr precision: 0.9649; curr recall: 0.0359; curr f1: 0.0692; curr tp: 5584; curr fp: 203; curr fn: 150050; curr tn: 1516492; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_adaptor; pattern type: l0
len(selected_patterns):64; curr precision: 0.9651; curr recall: 0.0361; curr f1: 0.0695; curr tp: 5613; curr fp: 203; curr fn: 150021; curr tn: 1516492; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_geforce; pattern type: l0
len(selected_patterns):65; curr precision: 0.9648; curr recall: 0.0363; curr f1: 0.0699; curr tp: 5642; curr fp: 206; curr fn: 149992; curr tn: 1516489; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_cables; pattern type: l0
len(selected_patterns):66; curr precision: 0.9646; curr recall: 0.0364; curr f1: 0.0702; curr tp: 5670; curr fp: 208; curr fn: 149964; curr tn: 1516487; precision of pattern: 1.0; tp, abs. recall of pattern: 28; pattern: _ATOKEN_scanner; pattern type: l0
len(selected_patterns):67; curr precision: 0.9646; curr recall: 0.0366; curr f1: 0.0705; curr tp: 5697; curr fp: 209; curr fn: 149937; curr tn: 1516486; precision of pattern: 1.0; tp, abs. recall of pattern: 27; pattern: _ATOKEN_vlc; pattern type: l0
len(selected_patterns):68; curr precision: 0.964; curr recall: 0.0368; curr f1: 0.0709; curr tp: 5724; curr fp: 214; curr fn: 149910; curr tn: 1516481; precision of pattern: 1.0; tp, abs. recall of pattern: 27; pattern: _ATOKEN_usability; pattern type: l0
len(selected_patterns):69; curr precision: 0.9638; curr recall: 0.0369; curr f1: 0.0712; curr tp: 5750; curr fp: 216; curr fn: 149884; curr tn: 1516479; precision of pattern: 1.0; tp, abs. recall of pattern: 26; pattern: _ATOKEN_idvd; pattern type: l0
len(selected_patterns):70; curr precision: 0.964; curr recall: 0.0371; curr f1: 0.0715; curr tp: 5776; curr fp: 216; curr fn: 149858; curr tn: 1516479; precision of pattern: 1.0; tp, abs. recall of pattern: 26; pattern: _ATOKEN_cs3; pattern type: l0
len(selected_patterns):71; curr precision: 0.9641; curr recall: 0.0373; curr f1: 0.0718; curr tp: 5801; curr fp: 216; curr fn: 149833; curr tn: 1516479; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _ATOKEN_tuner; pattern type: l0
